satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
0.84,0.6,2,272,5,0,1,0,technical,medium
0.75,0.87,4,247,3,0,0,0,sales,medium
0.47,0.65,4,274,5,0,1,0,support,low
0.61,0.72,3,233,7,0,0,0,sales,low
0.53,0.88,3,261,5,0,0,0,sales,low
0.67,0.64,4,195,2,0,0,0,RandD,medium
0.64,0.77,5,186,3,0,0,0,technical,medium
0.58,0.7,4,272,2,1,0,0,support,medium
0.9,0.84,4,192,4,0,0,0,sales,medium
0.11,0.94,4,295,4,0,1,0,support,medium
0.58,0.82,2,168,3,0,0,0,IT,low
0.61,0.93,5,229,2,0,0,0,hr,medium
0.65,0.92,4,261,3,1,1,0,marketing,low
0.11,0.84,6,258,6,1,1,0,sales,medium
0.38,0.57,2,161,3,0,1,0,sales,medium
0.6,0.96,3,195,3,0,0,0,technical,medium
0.68,0.92,3,265,4,1,0,0,technical,medium
0.63,0.53,4,250,3,0,0,0,sales,medium
0.47,0.84,4,238,2,0,0,0,support,low
0.75,0.98,2,254,3,0,1,0,technical,low
0.16,0.89,6,310,5,0,1,0,sales,low
0.53,0.57,4,139,3,0,0,0,sales,high
0.85,0.86,4,218,2,0,0,0,IT,medium
0.51,0.55,5,271,3,0,0,0,product_mng,high
0.1,0.86,6,296,4,0,0,0,sales,high
0.47,0.55,5,138,3,0,1,0,sales,low
0.61,0.88,4,267,2,0,0,0,sales,low
0.35,0.49,5,259,5,0,0,0,sales,medium
0.36,0.48,2,150,3,0,1,0,sales,low
0.53,0.88,5,207,3,0,0,0,hr,medium
0.38,0.52,4,157,2,0,0,0,support,low
0.48,0.46,2,141,3,0,0,0,technical,low
0.73,0.98,5,244,2,0,0,0,accounting,low
0.65,0.54,4,279,10,0,1,0,technical,low
0.22,0.9,6,233,4,0,0,0,product_mng,low
0.36,0.48,2,173,3,0,1,0,sales,low
0.1,0.93,7,299,4,0,1,0,technical,low
0.65,0.92,4,208,5,0,0,0,hr,medium
0.79,0.47,3,142,5,0,0,0,sales,high
0.21,0.88,4,272,5,0,1,0,technical,low
0.66,0.9,4,205,2,0,0,0,technical,low
0.21,0.91,5,196,6,0,1,0,sales,low
0.54,0.53,2,115,3,0,1,0,technical,low
0.66,0.88,4,209,6,0,0,0,sales,low
0.61,0.83,4,232,2,0,0,0,hr,medium
0.64,0.69,5,244,2,0,0,0,technical,medium
0.83,0.79,3,203,2,0,0,0,sales,medium
0.51,0.52,3,242,5,0,0,0,technical,medium
0.23,0.52,3,245,2,0,0,0,support,low
0.38,0.49,3,146,3,0,0,1,management,medium
0.78,1.0,5,254,2,0,0,0,sales,medium
0.57,0.95,3,233,6,0,0,0,support,medium
0.54,0.92,5,247,5,1,0,0,technical,low
0.51,0.54,4,137,4,0,0,0,sales,low
0.39,0.52,2,152,3,0,1,0,technical,low
0.32,0.51,2,169,3,0,1,0,sales,medium
0.41,0.53,2,139,3,0,0,0,sales,low
0.09,0.94,7,277,5,0,1,0,technical,low
0.31,0.5,2,157,3,0,1,0,hr,medium
0.55,0.65,4,192,4,0,0,0,sales,low
0.74,0.53,4,210,3,0,0,0,sales,high
0.66,0.8,4,134,3,0,0,0,technical,low
0.58,0.53,3,189,2,0,0,0,sales,low
0.44,0.59,2,143,2,0,0,0,hr,medium
0.74,0.55,3,238,3,1,0,0,marketing,medium
0.78,0.92,3,277,4,0,1,0,technical,low
0.92,0.98,4,171,3,0,0,0,sales,medium
0.61,0.92,3,195,10,1,0,0,management,high
0.5,0.66,2,161,2,0,0,0,marketing,medium
0.54,0.54,3,185,2,1,0,0,sales,medium
0.35,0.5,2,150,3,0,1,0,technical,low
0.57,0.6,5,244,3,0,0,0,sales,low
0.49,0.92,3,272,2,1,0,0,technical,medium
0.73,0.9,5,172,2,0,0,0,sales,low
0.37,0.48,2,157,2,0,0,0,management,medium
0.84,0.92,5,182,5,0,0,0,accounting,low
0.63,0.67,3,216,2,0,0,0,sales,medium
0.71,0.93,4,264,5,0,0,0,sales,medium
0.6,0.66,3,206,2,0,0,0,technical,medium
0.55,0.93,3,143,3,0,0,0,RandD,medium
0.56,0.97,2,159,3,0,0,0,sales,low
0.41,0.51,2,156,3,0,0,0,sales,low
0.77,0.83,4,193,5,0,1,0,sales,medium
0.54,0.93,4,198,5,0,0,0,sales,low
0.84,0.98,4,261,5,1,0,0,IT,low
0.59,0.69,3,187,3,1,0,0,hr,medium
0.56,0.91,3,200,2,0,0,0,technical,low
0.73,0.9,4,238,3,0,0,0,technical,medium
0.35,0.49,2,143,3,0,1,0,sales,medium
0.9,0.94,3,182,3,0,0,0,sales,low
0.76,0.74,3,160,2,0,0,0,technical,medium
0.58,0.99,4,183,2,0,0,0,hr,medium
0.6,0.55,3,198,2,0,0,0,sales,medium
0.27,0.89,6,305,4,1,0,0,accounting,low
0.19,0.73,4,258,2,0,0,0,technical,medium
0.17,0.91,4,249,4,0,1,0,hr,low
0.09,0.9,7,296,4,0,1,0,product_mng,low
0.71,0.87,3,248,2,0,0,0,technical,medium
0.51,0.78,4,221,2,0,0,0,sales,low
0.12,0.67,5,259,4,1,0,0,support,low
0.09,0.86,6,261,5,0,1,0,technical,low
0.62,0.85,4,271,5,0,1,0,IT,low
0.58,0.64,5,257,5,0,1,0,sales,medium
0.33,0.46,2,143,3,1,1,0,RandD,low
0.66,0.52,4,166,3,0,0,1,technical,medium
0.09,0.87,6,228,4,0,0,0,IT,low
0.36,0.55,3,147,2,0,0,0,technical,medium
0.29,0.54,3,192,3,0,0,0,technical,low
0.69,0.52,5,141,5,0,1,0,marketing,low
0.4,0.52,2,148,3,0,1,0,sales,medium
0.67,0.53,2,242,3,0,1,1,sales,high
0.75,0.98,3,195,2,0,0,0,sales,low
0.71,0.99,4,241,6,0,0,0,RandD,medium
0.17,0.96,3,237,5,0,0,1,RandD,medium
0.47,0.99,4,184,2,0,0,0,sales,low
0.65,0.91,5,256,6,0,0,0,sales,medium
0.41,0.49,2,141,3,0,1,0,marketing,low
0.24,0.76,4,272,5,0,0,0,sales,medium
0.88,0.94,4,185,2,0,0,0,technical,medium
0.68,0.56,2,161,2,0,1,0,support,low
0.38,0.5,2,138,3,0,1,0,product_mng,low
0.14,0.89,5,241,5,0,1,0,support,low
0.5,0.83,3,191,2,0,0,0,technical,low
0.72,0.89,5,193,2,0,1,0,sales,low
0.36,0.48,2,146,3,0,1,0,marketing,low
0.56,0.49,4,157,3,0,0,0,sales,low
0.51,0.9,3,210,4,0,0,0,support,low
0.37,0.52,2,147,3,0,0,0,technical,low
0.15,0.82,6,249,4,0,1,0,technical,low
0.66,0.89,3,205,2,0,0,0,sales,medium
0.52,0.49,5,165,2,0,0,0,management,high
0.7,0.68,4,277,2,0,0,0,RandD,low
0.09,0.99,6,280,5,0,1,0,sales,low
0.48,0.92,3,207,3,0,0,0,technical,high
0.61,0.61,4,262,5,0,0,0,sales,low
0.09,0.99,7,281,5,0,1,0,product_mng,medium
0.9,0.91,4,190,2,1,0,0,hr,medium
0.66,0.71,3,151,2,0,0,0,product_mng,medium
0.69,0.5,4,196,7,0,0,0,sales,high
0.58,0.64,5,232,5,0,0,0,sales,medium
0.48,0.51,3,158,2,0,0,0,marketing,high
0.93,0.93,3,247,5,0,0,0,support,low
0.53,0.75,4,257,3,0,0,0,sales,medium
0.66,0.66,5,161,3,0,0,0,sales,low
0.82,0.66,4,267,2,0,0,0,sales,low
0.38,0.52,2,139,3,0,1,0,technical,low
0.54,0.95,4,255,2,0,0,0,marketing,low
0.55,0.53,3,144,2,0,0,0,hr,low
0.73,0.78,3,139,3,0,0,0,support,low
0.65,0.74,3,201,2,0,0,0,sales,medium
0.71,0.44,4,224,3,1,0,0,sales,medium
0.55,0.66,3,253,2,0,0,0,technical,low
0.55,0.94,3,214,2,0,0,0,management,high
0.54,0.66,5,147,4,0,0,0,technical,medium
0.42,0.7,4,145,3,0,0,0,product_mng,medium
0.68,0.51,2,113,2,0,0,0,technical,medium
0.73,0.93,5,161,4,0,1,0,technical,low
0.39,0.51,2,272,3,0,1,0,technical,low
0.47,0.51,4,158,3,0,0,0,sales,medium
0.69,0.98,5,254,5,0,1,0,support,medium
0.56,0.85,5,237,2,0,0,0,sales,medium
0.72,0.71,4,216,2,1,0,0,product_mng,high
0.65,0.54,4,180,4,1,0,0,marketing,low
0.35,0.96,2,143,6,0,1,0,product_mng,medium
0.13,0.92,6,265,4,0,1,0,technical,low
0.18,0.91,5,302,4,0,1,0,RandD,medium
0.7,0.7,2,142,3,1,0,0,sales,low
0.66,0.7,4,207,3,0,0,0,technical,medium
0.1,0.76,3,138,2,0,0,0,sales,low
0.66,1.0,4,160,3,0,0,0,sales,low
0.75,0.94,5,265,3,0,0,0,marketing,medium
0.16,0.96,4,272,2,0,0,0,sales,low
0.62,0.66,4,115,2,1,0,0,marketing,medium
0.6,0.89,4,246,2,0,0,0,technical,low
0.72,0.68,4,226,5,0,0,0,technical,medium
0.39,0.56,2,257,3,0,1,0,technical,medium
0.18,0.62,3,270,2,1,0,0,technical,medium
0.92,0.98,4,234,6,0,0,0,support,medium
0.58,0.62,2,154,2,0,0,0,IT,low
0.56,0.83,3,236,3,0,0,0,hr,low
0.5,0.53,4,271,2,0,0,0,accounting,low
0.53,0.65,3,275,2,0,0,0,sales,low
0.84,0.85,3,222,5,0,0,0,marketing,medium
0.14,0.92,6,269,5,0,0,0,sales,low
0.12,0.74,4,265,3,0,0,0,RandD,low
0.7,0.71,5,148,2,0,0,0,sales,low
0.51,0.69,3,229,2,0,0,0,technical,low
0.66,0.54,4,267,3,1,0,0,product_mng,low
0.56,0.57,4,163,3,0,0,0,sales,low
0.83,0.92,2,166,3,1,0,0,hr,medium
0.81,0.91,5,170,6,0,0,0,sales,low
0.68,0.99,5,204,5,0,0,0,sales,medium
0.89,0.69,3,144,3,1,0,0,support,medium
0.64,0.59,4,139,2,0,0,0,technical,low
0.09,0.78,7,310,4,0,1,0,sales,medium
0.41,0.6,3,154,2,0,0,0,sales,medium
0.66,0.52,4,217,3,0,0,0,sales,low
0.6,0.87,4,280,5,0,0,0,hr,low
0.15,0.91,6,263,4,0,0,0,hr,medium
0.62,0.52,3,164,2,0,0,0,sales,low
0.33,0.56,2,141,3,0,1,0,accounting,low
0.11,0.93,6,258,4,0,1,0,accounting,low
0.17,0.92,6,181,2,0,0,0,IT,medium
0.2,0.92,4,276,5,0,1,0,technical,medium
0.46,0.57,2,173,3,0,0,0,support,low
0.45,0.58,4,262,2,0,0,0,accounting,low
0.54,0.48,4,149,3,0,0,0,sales,medium
0.54,0.83,5,249,3,0,1,0,product_mng,low
0.58,0.6,3,168,2,0,0,0,technical,low
0.95,0.55,5,191,2,0,0,0,marketing,low
0.65,0.62,2,156,3,0,0,0,sales,low
0.61,0.68,3,227,2,0,0,0,hr,low
0.5,0.94,4,201,2,0,0,0,technical,medium
0.13,0.75,6,235,4,0,0,0,sales,low
0.51,0.67,3,238,2,0,0,0,technical,medium
0.19,0.84,6,272,5,0,0,0,technical,low
0.68,0.65,4,166,3,0,1,0,technical,medium
0.54,0.64,3,184,8,0,0,0,sales,medium
0.76,0.82,6,297,2,0,0,0,hr,low
0.6,0.7,3,195,2,1,0,0,technical,low
0.64,0.43,2,229,3,0,0,0,sales,low
0.66,0.68,5,194,3,0,0,0,RandD,medium
0.65,0.84,3,185,5,0,1,0,sales,low
0.71,0.51,6,265,4,0,1,0,sales,low
0.33,0.55,2,143,3,0,1,0,technical,low
0.09,0.93,6,296,4,0,1,0,sales,low
0.44,0.48,4,163,3,0,0,0,sales,high
0.2,0.97,4,268,5,0,0,0,accounting,low
0.48,0.5,4,167,3,0,0,0,sales,medium
0.67,0.98,4,270,5,0,0,0,product_mng,low
0.09,0.92,6,277,5,0,1,0,sales,low
0.95,0.61,3,183,2,0,0,0,support,low
0.5,0.99,3,242,3,0,0,0,accounting,low
0.59,0.59,4,182,2,0,0,0,product_mng,medium
0.88,0.7,4,184,2,0,0,0,sales,low
0.49,0.81,3,239,2,0,0,0,technical,low
0.36,0.53,2,144,3,0,1,0,sales,low
0.57,0.63,4,227,2,0,0,0,sales,low
0.73,0.82,4,248,5,0,0,0,sales,medium
0.72,1.0,5,220,5,0,0,0,sales,medium
0.61,0.53,4,141,3,0,1,0,accounting,low
0.73,0.71,3,239,3,0,0,0,sales,low
0.7,0.98,4,159,3,0,0,0,technical,medium
0.91,0.64,3,115,2,0,0,0,sales,medium
0.45,0.66,3,141,2,1,0,0,RandD,high
0.61,0.63,3,205,2,0,0,0,sales,medium
0.91,0.87,3,185,2,0,0,0,sales,low
0.68,0.54,4,141,3,1,0,0,sales,low
0.46,0.8,3,170,2,0,0,0,sales,medium
0.09,0.89,7,310,4,0,1,0,sales,medium
0.68,0.5,4,158,2,0,0,0,hr,medium
0.44,0.68,2,223,3,0,1,0,sales,low
0.68,0.89,4,245,5,0,0,0,sales,medium
0.82,0.99,3,200,3,0,0,0,sales,high
0.62,0.78,5,240,5,0,0,0,sales,low
0.34,0.55,5,145,3,0,1,0,technical,low
0.63,0.69,3,271,3,0,0,0,sales,low
0.72,0.96,3,266,2,0,0,0,hr,medium
0.68,0.88,4,193,6,0,0,1,sales,medium
0.59,0.53,4,118,3,0,0,0,support,medium
0.73,0.92,5,245,2,0,0,0,management,high
0.92,0.55,4,156,3,0,0,0,support,high
0.88,0.91,3,176,3,0,0,0,sales,medium
0.13,0.8,7,229,4,0,1,0,product_mng,low
0.53,0.65,3,185,2,1,0,0,sales,medium
0.85,0.9,4,235,3,0,0,0,sales,low
0.66,0.49,2,167,3,0,1,0,product_mng,medium
0.69,0.94,5,276,5,0,1,0,hr,medium
0.71,0.53,4,272,3,0,0,0,sales,low
0.58,0.73,4,240,3,0,0,0,technical,low
0.36,0.51,2,139,3,0,1,0,IT,low
0.53,0.55,3,231,2,0,0,0,RandD,medium
0.5,0.95,5,255,2,0,0,0,technical,medium
0.09,0.87,6,304,4,0,1,0,product_mng,low
0.71,0.96,4,238,3,0,0,0,IT,low
0.19,0.85,3,243,4,0,0,0,sales,low
0.35,0.52,2,153,3,0,1,0,technical,low
0.5,0.84,4,228,2,0,0,0,technical,low
0.17,0.91,5,217,4,0,0,0,sales,low
0.76,0.97,5,165,3,0,1,0,sales,low
0.16,0.79,4,302,4,0,0,0,hr,low
0.34,0.62,4,140,3,0,0,0,sales,low
0.39,0.51,4,171,3,0,0,0,hr,low
0.23,0.9,6,258,5,0,0,0,IT,medium
0.51,0.66,3,164,3,0,0,0,technical,medium
0.47,0.7,4,238,2,1,0,0,technical,medium
0.69,0.88,3,234,3,0,0,0,product_mng,low
0.37,0.52,2,136,3,0,0,0,sales,medium
0.5,0.67,3,158,3,0,0,0,support,low
0.67,0.73,5,149,4,0,1,0,hr,medium
0.37,0.51,2,166,5,0,1,0,technical,low
0.73,0.92,4,267,3,0,0,0,technical,low
0.44,0.97,4,188,2,0,0,0,sales,low
0.57,0.76,3,135,3,0,0,0,technical,medium
0.21,0.98,4,256,5,0,0,0,hr,medium
0.5,0.67,4,146,5,0,0,0,support,low
0.56,0.91,3,279,4,0,0,0,technical,medium
0.29,0.51,2,149,5,0,1,0,hr,low
0.38,0.68,5,151,3,0,0,0,sales,low
0.62,0.9,4,223,6,0,0,0,marketing,low
0.47,0.65,4,278,3,0,0,0,sales,medium
0.34,0.54,2,171,2,0,1,0,sales,medium
0.7,0.9,4,204,2,0,0,0,sales,medium
0.76,0.5,2,164,3,0,0,0,sales,low
0.34,0.4,2,134,3,0,1,0,technical,low
